name,link
Action & Adventure,https://www.amazon.in/gp/bestsellers/books/1318158031
"Arts, Film & Photography",https://www.amazon.in/gp/bestsellers/books/1318052031
"Biographies, Diaries & True Accounts",https://www.amazon.in/gp/bestsellers/books/1318064031
Business & Economics,https://www.amazon.in/gp/bestsellers/books/1318068031
Children's & Young Adult,https://www.amazon.in/gp/bestsellers/books/1318073031
Comics & Mangas,https://www.amazon.in/gp/bestsellers/books/1318104031
"Computing, Internet & Digital Media",https://www.amazon.in/gp/bestsellers/books/1318105031
"Crafts, Home & Lifestyle",https://www.amazon.in/gp/bestsellers/books/1318118031
"Crime, Thriller & Mystery",https://www.amazon.in/gp/bestsellers/books/1318161031
Engineering,https://www.amazon.in/gp/bestsellers/books/22960344031
Exam Preparation,https://www.amazon.in/gp/bestsellers/books/4149751031
"Fantasy, Horror & Science Fiction",https://www.amazon.in/gp/bestsellers/books/1402038031
"Health, Family & Personal Development",https://www.amazon.in/gp/bestsellers/books/1318128031
"Health, Fitness & Nutrition",https://www.amazon.in/gp/bestsellers/books/23033693031
Higher Education Textbooks,https://www.amazon.in/gp/bestsellers/books/4149418031
Historical Fiction,https://www.amazon.in/gp/bestsellers/books/1318164031
History,https://www.amazon.in/gp/bestsellers/books/4149493031
Humour,https://www.amazon.in/gp/bestsellers/books/1318143031
"Language, Linguistics & Writing",https://www.amazon.in/gp/bestsellers/books/1318144031
Law,https://www.amazon.in/gp/bestsellers/books/4149542031
Literature & Fiction,https://www.amazon.in/gp/bestsellers/books/1318157031
Maps & Atlases,https://www.amazon.in/gp/bestsellers/books/1318298031
Medicine & Health Sciences,https://www.amazon.in/gp/bestsellers/books/4149549031
Politics,https://www.amazon.in/gp/bestsellers/books/1318176031
Reference,https://www.amazon.in/gp/bestsellers/books/1318185031
Religion,https://www.amazon.in/gp/bestsellers/books/1318188031
Romance,https://www.amazon.in/gp/bestsellers/books/1318168031
School Books,https://www.amazon.in/gp/bestsellers/books/4149807031
Science & Mathematics,https://www.amazon.in/gp/bestsellers/books/4149708031
"Sciences, Technology & Medicine",https://www.amazon.in/gp/bestsellers/books/1318203031
Society & Social Sciences,https://www.amazon.in/gp/bestsellers/books/1318216031
Sports,https://www.amazon.in/gp/bestsellers/books/1318224031
Textbooks & Study Guides,https://www.amazon.in/gp/bestsellers/books/15417300031
Travel,https://www.amazon.in/gp/bestsellers/books/1318295031
